"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer","ARCHS4","GTEx","TabulaSapiens","n","Transcript","CellAge","SenMayo","AgedTissue","DiseaseTissue"
"LAMA1","LAMA","ENSG00000101680","Laminin subunit alpha 1","P25391","18","6941742-7117797","Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Cell adhesion","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in some",NA,"testis: 5.9","Group enriched","Detected in many",4,"Astrocytes: 87.9;Distal enterocytes: 132.4;Granulosa cells: 75.6;Intestinal goblet cells: 40.1;Paneth cells: 38.9;Proximal enterocytes: 45.1","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"skin cancer: 36.7","Skin - Eccrine sweat gland cells, Testis - Sertoli cells","Low region specificity","Detected in single",NA,"","Low region specificity","Detected in many",NA,"","CAB010179","Enhanced","","","","Secreted to extracellular matrix",NA,NA,NA,NA,"","Cluster 43: Testis - Unknown function","Cluster 16: Skin cancer - Melanocyte processes","Cluster 50: Enterocytes - Absorption","","","CAB010179: AB_2133741","unprognostic (2.75e-1)","unprognostic (3.66e-4)","unprognostic (2.08e-1)","unprognostic (3.56e-1)","unprognostic (4.97e-3)","unprognostic (3.66e-2)","unprognostic (1.72e-2)","unprognostic (7.94e-2)","unprognostic (2.23e-2)","unprognostic (3.43e-2)","unprognostic (3.02e-1)","unprognostic (6.80e-2)","unprognostic (1.92e-1)","unprognostic (1.78e-2)","unprognostic (4.85e-1)","unprognostic (3.47e-2)","unprognostic (7.34e-3)",2,2,6,10,"ENST00000579014",0,0,NA,NA
"LAMC1","LAMB2","ENSG00000135862","Laminin subunit gamma 1","P11047","1","183023420-183145592","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Cell adhesion","","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"placenta: 231.7","Cell type enhanced","Detected in many",NA,"Fibroblasts: 217.5","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in all",NA,"testis cancer: 459.0","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA001908, HPA001909, CAB004486, CAB078163","Enhanced","","Approved","Endoplasmic reticulum,Plasma membrane","Secreted to extracellular matrix",NA,NA,NA,1e+08,"Cluster 37: B-cells - Transcription","Cluster 82: Adipose tissue - ECM organization","Cluster 59: Fibroblasts - Metabolism","Cluster 65: Fibroblasts - ECM organization","Endoplasmic reticulum, Plasma membrane","","CAB004486: AB_627870, CAB078163: AB_2665817, HPA001908: AB_1079229, HPA001909: AB_1079230","unprognostic (1.46e-1)","unprognostic (1.05e-2)","unprognostic (8.30e-2)","unprognostic (8.84e-3)","unprognostic (3.75e-2)","unprognostic (1.02e-1)","unprognostic (1.55e-2)","unprognostic (1.54e-2)","unprognostic (1.38e-2)","unprognostic (2.71e-2)","unprognostic (1.10e-1)","unprognostic (1.80e-1)","unprognostic (1.88e-3)","unprognostic (1.10e-3)","unprognostic (1.53e-1)","unprognostic (1.54e-1)","prognostic unfavorable (8.85e-5)",0,0,11,11,"ENST00000478064; ENST00000479499",1,0,NA,NA
"LIF","CDF, DIA, HILDA","ENSG00000128342","LIF interleukin 6 family cytokine","P15018","22","30240453-30246759","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","Cytokine, Growth factor","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"gallbladder: 47.7;urinary bladder: 91.0","Cell type enhanced","Detected in many",NA,"Basal respiratory cells: 98.6;Endometrial ciliated cells: 69.3;Glandular and luminal cells: 180.4;granulocytes: 116.9;Ionocytes: 283.1","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Pancreas - Ductal cells","Not detected","Not detected",NA,"","Not detected","Not detected",NA,"","HPA018844, CAB025985","Uncertain","","Supported","Cytosol","Secreted in other tissues",NA,NA,NA,NA,"","Cluster 82: Adipose tissue - ECM organization","Cluster 33: Skin cancer - Membrane components","Cluster 14: Endometrium - Transcription regulation","Cytosol","","CAB025985: , HPA018844: AB_1852814","unprognostic (1.28e-2)","prognostic unfavorable (9.01e-4)","unprognostic (8.79e-2)","unprognostic (4.61e-2)","unprognostic (7.36e-3)","unprognostic (4.18e-3)","unprognostic (1.17e-2)","unprognostic (1.41e-2)","unprognostic (3.18e-3)","unprognostic (1.22e-1)","unprognostic (8.10e-2)","unprognostic (9.65e-2)","prognostic unfavorable (6.78e-8)","unprognostic (2.02e-1)","unprognostic (6.40e-2)","unprognostic (8.99e-2)","unprognostic (4.71e-3)",7,6,6,19,NA,0,0,"Adrenal.Gland",NA
"LOX","","ENSG00000113083","Lysyl oxidase","P28300","5","122063195-122078413","Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","","Oxidoreductase","Aortic aneurysm, Disease variant","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"adipose tissue: 27.9","Cell type enhanced","Detected in many",NA,"Basal respiratory cells: 64.4;Early spermatids: 45.5;Extravillous trophoblasts: 49.0;Fibroblasts: 84.1;Pancreatic endocrine cells: 125.4;Thymic epithelial cells: 58.0","Cancer enhanced","Detected in all",NA,"renal cancer: 39.8","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Brain cancer: 82.3","Heart muscle - Fibroblasts, Skin - Fibroblast_2","Low region specificity","Detected in some",NA,"","Low region specificity","Detected in many",NA,"","HPA043930","","","Approved","Endoplasmic reticulum","Secreted to extracellular matrix",NA,NA,NA,550000,"","Cluster 82: Adipose tissue - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 53: Connective tissue cells - ECM organization","Endoplasmic reticulum","","HPA043930: AB_2678736","unprognostic (5.10e-2)","unprognostic (1.03e-2)","unprognostic (6.99e-3)","unprognostic (3.64e-2)","unprognostic (9.86e-3)","unprognostic (1.91e-1)","prognostic unfavorable (7.38e-4)","unprognostic (2.42e-3)","unprognostic (3.06e-3)","unprognostic (8.92e-2)","unprognostic (3.21e-3)","unprognostic (1.91e-1)","prognostic unfavorable (3.93e-8)","unprognostic (1.11e-3)","unprognostic (9.92e-2)","unprognostic (4.31e-2)","prognostic unfavorable (3.32e-4)",9,6,12,27,"ENST00000231004; ENST00000503759; ENST00000505593; ENST00000508067; ENST00000513319",1,0,"Lung; Muscle",NA
"LOXL2","LOR, WS9-14","ENSG00000134013","Lysyl oxidase like 2","Q9Y4K0","8","23296897-23425328","Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins","Transcription, Transcription regulation","Chromatin regulator, Oxidoreductase, Repressor","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"smooth muscle: 41.3","Cell type enhanced","Detected in many",NA,"Basal respiratory cells: 23.1;Endometrial stromal cells: 26.0;Endothelial cells: 28.1;Extravillous trophoblasts: 25.3;Fibroblasts: 38.8;Pancreatic endocrine cells: 37.8;Smooth muscle cells: 20.1","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in all",NA,"Kidney cancer: 598.7","Breast - Adipocytes (Breast), Skeletal muscle - Fibroblasts, Thyroid - Endothelial cells","Low region specificity","Detected in single",NA,"","Low region specificity","Detected in single",NA,"","CAB025848, HPA036257, HPA056542","Approved","","Enhanced","Nucleoplasm","Secreted to extracellular matrix",NA,NA,NA,NA,"Cluster 49: Eosinophils - Unknown function","Cluster 46: Fibroblasts - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 53: Connective tissue cells - ECM organization","Nucleoplasm","","CAB025848: , HPA036257: AB_2675025, HPA056542: AB_2683168","unprognostic (9.48e-2)","prognostic unfavorable (9.83e-6)","unprognostic (2.03e-1)","unprognostic (2.81e-2)","prognostic unfavorable (1.24e-4)","unprognostic (5.55e-2)","unprognostic (1.42e-2)","prognostic unfavorable (1.46e-7)","unprognostic (2.91e-2)","unprognostic (3.63e-3)","prognostic unfavorable (9.05e-4)","unprognostic (1.25e-1)","prognostic unfavorable (2.91e-7)","unprognostic (1.51e-2)","unprognostic (7.07e-2)","unprognostic (4.93e-2)","unprognostic (3.68e-3)",7,5,13,25,"ENST00000389131; ENST00000520349",1,0,NA,NA
"LRRC17","H_RG318M05.3, P37NB","ENSG00000128606","Leucine rich repeat containing 17","Q8N6Y2","7","102913000-102945111","Predicted secreted proteins","Osteogenesis","","","Evidence at protein level","Evidence at transcript level","Evidence at transcript level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"ovary: 76.2","Cell type enhanced","Detected in many",NA,"Fibroblasts: 28.2;Granulosa cells: 67.2;Leydig cells: 110.8;Peritubular cells: 34.5;Sertoli cells: 27.6","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enriched","Detected in single",94,"eosinophil: 9.9","Lineage enriched","Detected in single",94,"granulocytes: 9.9","Cancer enhanced","Detected in many",NA,"Brain cancer: 57.1;Sarcoma: 73.1","Liver - Hepatic stellate cells, Lung - Fibroblast_2, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Thyroid - Fibroblasts","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","HPA073458","","","Approved","Vesicles,Cytokinetic bridge","Secreted in other tissues","Yes",NA,NA,NA,"Cluster 45: Eosinophils - Innate immune response","Cluster 89: Fibroblasts - ECM organization","Cluster 42: Sarcoma - Muscle contraction","Cluster 17: Granulosa cells - Transcription regulation","Vesicles","Cytokinetic bridge","HPA073458: ","unprognostic (1.77e-1)","unprognostic (7.73e-2)","unprognostic (4.79e-2)","unprognostic (1.47e-1)","unprognostic (1.03e-1)","unprognostic (2.48e-1)","unprognostic (4.46e-1)","unprognostic (1.18e-1)","unprognostic (9.76e-4)","unprognostic (6.09e-3)","unprognostic (2.26e-1)","unprognostic (2.39e-1)","prognostic unfavorable (4.12e-6)","unprognostic (8.57e-3)","unprognostic (4.48e-2)","unprognostic (6.17e-2)","prognostic unfavorable (6.30e-4)",9,9,9,27,"ENST00000249377; ENST00000339431",0,0,"Blood.Vessel",NA
"LTBP1","","ENSG00000049323","Latent transforming growth factor beta binding protein 1","Q14766","2","32946953-33399509","Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","Growth factor binding","Disease variant","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"cervix: 161.4","Cell type enhanced","Detected in many",NA,"Astrocytes: 105.0;Cardiomyocytes: 89.9;Fibroblasts: 92.5;Leydig cells: 95.6;Mucus glandular cells: 116.8;Peritubular cells: 162.3;Smooth muscle cells: 111.4","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enriched","Detected in single",4,"basophil: 3.1","Lineage enriched","Detected in single",14,"granulocytes: 3.1","Low cancer specificity","Detected in all",NA,"","Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Pancreas - Fibroblasts, Prostate - Smooth muscle cells","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","CAB025428","Approved","","","","Secreted to extracellular matrix",NA,NA,NA,9.6e+07,"Cluster 10: Basophils - Unknown function","Cluster 46: Fibroblasts - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 15: Smooth muscle cells - Muscle contraction","","","CAB025428: ","unprognostic (1.02e-2)","unprognostic (1.12e-1)","unprognostic (5.29e-2)","unprognostic (6.23e-2)","unprognostic (3.11e-3)","unprognostic (1.83e-1)","unprognostic (1.06e-3)","unprognostic (5.67e-2)","unprognostic (7.48e-2)","unprognostic (1.14e-1)","unprognostic (9.96e-3)","unprognostic (1.05e-1)","prognostic unfavorable (7.79e-6)","unprognostic (4.61e-2)","unprognostic (1.06e-1)","unprognostic (1.91e-1)","prognostic unfavorable (1.62e-4)",8,0,9,17,"ENST00000402934; ENST00000407925; ENST00000422669",0,0,NA,"Idiopathic.Pulmonary.Fibrosis"
"LUM","LDC, SLRR2D","ENSG00000139329","Lumican","P51884","12","91102629-91111494","Cancer-related genes, Plasma proteins, Predicted secreted proteins","","","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"gallbladder: 739.0;placenta: 535.9","Group enriched","Detected in many",10,"Endometrial stromal cells: 990.9;Fibroblasts: 1398.8;Leydig cells: 414.2;Smooth muscle cells: 491.6","Low cancer specificity","Detected in all",NA,"","Region enriched","Detected in some",4,"cerebral cortex: 5.6","Immune cell enriched","Detected in single",122,"basophil: 12.1","Lineage enriched","Detected in single",122,"granulocytes: 12.1","Cancer enhanced","Detected in many",NA,"Rhabdoid: 221.2","Adipose subcutaneous - Adipose progenitor cells, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts, Thyroid - Fibroblasts","Low region specificity","Detected in all",NA,"","Region enriched","Detected in all",9,"spinal cord: 149.2","HPA001522, CAB025783","Supported","","","","Secreted to extracellular matrix",NA,NA,NA,2.9e+10,"Cluster 38: Basophils - Unknown function","Cluster 82: Adipose tissue - ECM organization","Cluster 22: Rhabdoid cancers - Neuronal signaling","Cluster 53: Connective tissue cells - ECM organization","","","CAB025783: , HPA001522: AB_1079285","unprognostic (5.54e-2)","unprognostic (2.27e-1)","unprognostic (3.32e-1)","unprognostic (2.75e-1)","unprognostic (1.65e-1)","unprognostic (8.38e-2)","unprognostic (1.09e-1)","unprognostic (2.87e-1)","unprognostic (4.08e-2)","unprognostic (1.19e-1)","unprognostic (1.65e-2)","unprognostic (2.20e-2)","prognostic unfavorable (1.75e-6)","unprognostic (5.25e-3)","unprognostic (2.27e-2)","unprognostic (2.38e-2)","unprognostic (2.06e-2)",8,0,8,16,NA,1,0,"Adipose; Blood.Vessel; Muscle",NA
"MASP1","CRARF, MASP, PRSS5","ENSG00000127241","Mannan binding lectin serine peptidase 1","P48740","3","187217282-187291980","Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Complement activation lectin pathway, Immunity, Innate immunity","Hydrolase, Protease, Serine protease","Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"cervix: 120.0;heart muscle: 116.1;liver: 183.4","Cell type enhanced","Detected in some",NA,"Astrocytes: 27.2;Cardiomyocytes: 29.4;Cholangiocytes: 26.9;Endometrial stromal cells: 30.1;Fibroblasts: 17.1;Hepatocytes: 58.1","Group enriched","Detected in some",9,"glioma: 6.8;liver cancer: 7.7;prostate cancer: 3.0;renal cancer: 3.9","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in some",NA,"liver cancer: 12.0;Rhabdoid: 14.0","Breast - Fibroblasts, Pancreas - Fibroblasts, Prostate - Smooth muscle cells, Skin - Fibroblast_1, Skin - Fibroblast_2","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA001617, HPA009641","Supported","","Enhanced","Nucleoplasm,Cytosol","Secreted to blood","No",NA,8.67e+09,1.9e+09,"","Cluster 85: Liver - Metabolism","Cluster 20: Connective tissue cells - ECM organization","Cluster 52: Endometrial stromal cells - ECM organization","Nucleoplasm, Cytosol","","HPA001617: AB_1079314, HPA009641: AB_1079313","unprognostic (1.67e-1)","unprognostic (1.02e-2)","unprognostic (1.99e-1)","unprognostic (5.20e-2)","unprognostic (1.02e-2)","unprognostic (1.25e-6)","prognostic favorable (2.20e-4)","unprognostic (9.92e-2)","unprognostic (3.22e-1)","unprognostic (2.29e-1)","unprognostic (4.18e-1)","unprognostic (1.29e-1)","unprognostic (2.82e-3)","unprognostic (3.56e-3)","unprognostic (1.97e-1)","unprognostic (7.85e-2)","unprognostic (4.29e-1)",9,0,9,18,NA,1,0,"Blood.Vessel; Lung",NA
"MMP1","CLG","ENSG00000196611","Matrix metallopeptidase 1","P03956","11","102789401-102798160","Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Human disease related genes, Plasma proteins, Predicted secreted proteins","Collagen degradation, Host-virus interaction","Hydrolase, Metalloprotease, Protease","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"gallbladder: 75.7;stomach 1: 47.6;urinary bladder: 52.2","Cell type enhanced","Detected in some",NA,"Basal respiratory cells: 78.6;Cholangiocytes: 32.7;Ductal cells: 106.7;Exocrine glandular cells: 66.2;Gastric mucus-secreting cells: 24.4;Pancreatic endocrine cells: 84.2","Cancer enhanced","Detected in many",NA,"head and neck cancer: 344.2","Region enriched","Detected in single",7,"cerebral cortex: 1.3","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Group enriched","Detected in many",6,"ovarian cancer: 408.7;Sarcoma: 782.4;skin cancer: 588.5;thyroid cancer: 1539.1","Pancreas - Ductal cells","Not detected","Not detected",NA,"","","",NA,"","HPA004920","","","Approved","Vesicles","Secreted to extracellular matrix",NA,NA,7730000,55000,"","Cluster 12: Smooth muscle tissue - Mixed function","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 74: Pancreatic cells - Mixed function","Vesicles","","HPA004920: AB_2667293","unprognostic (4.11e-3)","prognostic unfavorable (4.66e-4)","unprognostic (4.20e-3)","unprognostic (1.19e-3)","unprognostic (6.46e-2)","unprognostic (6.50e-2)","prognostic unfavorable (4.22e-6)","unprognostic (7.83e-3)","unprognostic (2.94e-2)","unprognostic (5.44e-2)","unprognostic (1.11e-3)","unprognostic (1.75e-1)","prognostic unfavorable (9.86e-10)","unprognostic (1.67e-2)","unprognostic (1.49e-1)","unprognostic (1.26e-2)","unprognostic (5.11e-2)",12,13,8,33,"ENST00000315274",0,1,NA,"Idiopathic.Pulmonary.Fibrosis"
"MMP2","CLG4, CLG4A, TBE-1","ENSG00000087245","Matrix metallopeptidase 2","P08253","16","55389700-55506691","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Angiogenesis, Collagen degradation","Hydrolase, Metalloprotease, Protease","Cancer-related genes, Disease variant","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"gallbladder: 1062.9","Cell type enhanced","Detected in many",NA,"Endometrial stromal cells: 223.5;Extravillous trophoblasts: 531.3;Fibroblasts: 756.3;Leydig cells: 338.9;Peritubular cells: 406.2","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in all",NA,"testis cancer: 849.0","Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Prostate - Fibroblasts, Skin - Fibroblast_2, Stomach - Fibroblasts","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","HPA001939, CAB002788","Approved","","Approved","Vesicles","Secreted to extracellular matrix",NA,NA,1.6e+09,2.2e+08,"","Cluster 46: Fibroblasts - ECM organization","Cluster 59: Fibroblasts - Metabolism","Cluster 65: Fibroblasts - ECM organization","Vesicles","","CAB002788: , HPA001939: AB_1079395","unprognostic (7.26e-2)","unprognostic (1.36e-3)","unprognostic (1.66e-1)","unprognostic (2.14e-3)","unprognostic (5.03e-2)","unprognostic (1.20e-1)","unprognostic (1.74e-1)","unprognostic (9.36e-3)","unprognostic (4.81e-3)","unprognostic (3.79e-2)","unprognostic (4.59e-3)","unprognostic (6.12e-2)","unprognostic (1.28e-3)","unprognostic (1.59e-2)","unprognostic (8.00e-2)","unprognostic (8.98e-2)","unprognostic (4.63e-2)",7,0,9,16,"ENST00000543485; ENST00000564864",0,1,"Lung; Muscle","Idiopathic.Pulmonary.Fibrosis"
"MMP3","STMY, STMY1","ENSG00000149968","Matrix metallopeptidase 3","P08254","11","102835801-102843609","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Collagen degradation","Hydrolase, Metalloprotease, Protease","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"adipose tissue: 90.7;salivary gland: 286.1","Cell type enhanced","Detected in some",NA,"Basal respiratory cells: 20.2;Early spermatids: 27.8;Extravillous trophoblasts: 16.7;Fibroblasts: 52.1;Pancreatic endocrine cells: 17.2;Smooth muscle cells: 17.7","Cancer enhanced","Detected in many",NA,"head and neck cancer: 59.9","Region enriched","Detected in some",4,"thalamus: 7.3","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Group enriched","Detected in many",10,"Brain cancer: 54.1;Sarcoma: 122.3","","Not detected","Not detected",NA,"","Region enhanced","Detected in some",NA,"hippocampal formation: 3.2","HPA007875","Uncertain","","Supported","Vesicles","Secreted to extracellular matrix",NA,NA,2540000,460000,"","Cluster 24: Salivary gland - Salivary secretion","Cluster 20: Connective tissue cells - ECM organization","Cluster 74: Pancreatic cells - Mixed function","Vesicles","","HPA007875: AB_1079396","unprognostic (2.27e-1)","prognostic unfavorable (9.73e-4)","unprognostic (1.63e-3)","unprognostic (5.11e-3)","unprognostic (3.78e-1)","unprognostic (5.11e-2)","unprognostic (5.26e-6)","unprognostic (3.46e-2)","unprognostic (7.14e-2)","unprognostic (2.87e-1)","prognostic unfavorable (4.09e-4)","unprognostic (3.26e-2)","unprognostic (1.22e-15)","unprognostic (3.17e-1)","unprognostic (1.55e-1)","unprognostic (3.43e-2)","unprognostic (2.34e-1)",6,6,3,15,NA,1,1,NA,"Idiopathic.Pulmonary.Fibrosis"
"MXRA5","DKFZp564I1922","ENSG00000101825","Matrix remodeling associated 5","Q9NR99","X","3308565-3346652","Cancer-related genes, Disease related genes, Predicted secreted proteins","","","Cancer-related genes","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"cervix: 35.0","Cell type enhanced","Detected in many",NA,"Basal keratinocytes: 22.9;Basal prostatic cells: 30.2;Collecting duct cells: 27.6;Exocrine glandular cells: 69.1;Fibroblasts: 45.9;Salivary duct cells: 32.5","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in single",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"thyroid cancer: 41.3","Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Skin - Fibroblast_1","","",NA,"","Low region specificity","Detected in all",NA,"","HPA000508, HPA076518","Uncertain","","Uncertain","Mitochondria","Secreted to extracellular matrix",NA,NA,NA,2600000,"","Cluster 31: Skin - Epidermis development","Cluster 20: Connective tissue cells - ECM organization","Cluster 65: Fibroblasts - ECM organization","Mitochondria","","HPA000508: AB_2147995, HPA076518: ","unprognostic (7.51e-2)","unprognostic (6.45e-2)","unprognostic (8.00e-2)","unprognostic (2.51e-2)","prognostic unfavorable (1.81e-4)","unprognostic (7.05e-2)","unprognostic (7.25e-2)","unprognostic (1.35e-2)","unprognostic (1.13e-1)","unprognostic (2.53e-2)","unprognostic (6.32e-3)","unprognostic (1.38e-1)","unprognostic (1.65e-2)","unprognostic (1.58e-1)","unprognostic (1.90e-2)","unprognostic (1.50e-1)","prognostic unfavorable (8.94e-4)",8,0,8,16,NA,0,0,"Blood.Vessel",NA
