Gene,Ensembl,Gene description,Significant transcript(s),ARCHS4 (gene level),GTEx (gene level),TabulaSapiens (gene level),Total conditions (gene level),CellAge,SenMayo,AgedTissue,DiseaseTissue,Protein.class,Biological.process,Molecular.function,Disease.involvement,Evidence,RNA.tissue.specificity,RNA.tissue.distribution,RNA.tissue.specificity.score,RNA.tissue.specific.nTPM,RNA.single.cell.type.specificity,RNA.single.cell.type.distribution,RNA.single.cell.type.specificity.score,RNA.single.cell.type.specific.nTPM,RNA.cancer.specificity,RNA.cancer.distribution,RNA.cancer.specificity.score,RNA.cancer.specific.FPKM,RNA.brain.regional.specificity,RNA.brain.regional.distribution,RNA.brain.regional.specificity.score,RNA.brain.regional.specific.nTPM,RNA.blood.cell.specificity,RNA.blood.cell.distribution,RNA.blood.cell.specificity.score,RNA.blood.cell.specific.nTPM,RNA.blood.lineage.specificity,RNA.blood.lineage.distribution,RNA.blood.lineage.specificity.score,RNA.blood.lineage.specific.nTPM,RNA.cell.line.specificity,RNA.cell.line.distribution,RNA.cell.line.specificity.score,RNA.cell.line.specific.nTPM,RNA.tissue.cell.type.enrichment,RNA.mouse.brain.regional.specificity,RNA.mouse.brain.regional.distribution,RNA.mouse.brain.regional.specificity.score,RNA.mouse.brain.regional.specific.nTPM,RNA.pig.brain.regional.specificity,RNA.pig.brain.regional.distribution,RNA.pig.brain.regional.specificity.score,RNA.pig.brain.regional.specific.nTPM,Antibody,Reliability..IH.,Reliability..Mouse.Brain.,Reliability..IF.,Subcellular.location,Secretome.location,CCD.Protein,CCD.Transcript,Blood.concentration...Conc..blood.IM..pg.L.,Blood.concentration...Conc..blood.MS..pg.L.,Blood.expression.cluster,Tissue.expression.cluster,Cell.line.expression.cluster,Single.cell.expression.cluster,Subcellular.main.location,Subcellular.additional.location,Antibody.RRID
PSG6,ENSG00000170848,Pregnancy specific beta-1-glycoprotein 6,NA,4,12,1,17,1,0,NA,NA,"Predicted intracellular proteins, Predicted secreted proteins",,,,Evidence at protein level,Tissue enriched,Detected in some,35,placenta: 49.4,Cell type enriched,Detected in some,120,Syncytiotrophoblasts: 381.4,Not detected,Not detected,NA,,Region enhanced,Detected in single,NA,cerebellum: 1.4,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Group enriched,Detected in some,8,Sarcoma: 10.7;testis cancer: 3.9,,,,NA,,,,NA,,HPA046327,Supported,,,,Secreted in female reproductive system,NA,NA,NA,6.50E+07,,Cluster 28: Placenta - Pregnancy,Cluster 20: Connective tissue cells - ECM organization,Cluster 67: Syncytiotrophoblasts - Pregnancy,,,HPA046327: AB_2679624
STC1,ENSG00000159167,Stanniocalcin 1,NA,10,0,7,17,1,0,Blood.Vessel; Heart; Muscle,NA,"Predicted intracellular proteins, Predicted secreted proteins",,Hormone,,Evidence at protein level,Tissue enhanced,Detected in many,NA,thyroid gland: 64.3,Cell type enhanced,Detected in many,NA,Adipocytes: 166.0;Collecting duct cells: 72.9;Endometrial ciliated cells: 84.2;Endothelial cells: 178.7;Glandular and luminal cells: 306.8;Theca cells: 151.6,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Sarcoma: 56.9,,Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,"CAB018625, HPA023918",Approved,,,,Secreted in other tissues,NA,NA,NA,240000,,Cluster 82: Adipose tissue - ECM organization,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 14: Endometrium - Transcription regulation,,,"CAB018625: AB_2197536, HPA023918: AB_1857566"
COL5A1,ENSG00000130635,Collagen type V alpha 1 chain,NA,5,0,11,16,0,0,NA,Idiopathic.Pulmonary.Fibrosis,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,Heparin-binding,"Cancer-related genes, Disease variant, Ehlers-Danlos syndrome",Evidence at protein level,Tissue enhanced,Detected in all,NA,cervix: 146.6,Cell type enhanced,Detected in many,NA,Endometrial stromal cells: 129.4;Fibroblasts: 126.5;Leydig cells: 61.6;Pancreatic endocrine cells: 61.8;Schwann cells: 50.9;Smooth muscle cells: 54.7,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Brain cancer: 233.0,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Lung - Fibroblast_2, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts",Low region specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,HPA030769,Approved,,Approved,Vesicles,Secreted to extracellular matrix,No,No,NA,1.50E+07,,Cluster 46: Fibroblasts - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,Vesicles,,HPA030769: AB_2673603
CTHRC1,ENSG00000164932,Collagen triple helix repeat containing 1,ENST00000520337,8,5,3,16,0,0,Adipose; Blood.Vessel; Muscle,Idiopathic.Pulmonary.Fibrosis,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",,,,Evidence at protein level,Tissue enhanced,Detected in many,NA,adipose tissue: 69.1;gallbladder: 87.8;placenta: 90.1;urinary bladder: 84.6,Cell type enhanced,Detected in many,NA,Endothelial cells: 83.3;Fibroblasts: 154.2;Pancreatic endocrine cells: 68.7;Smooth muscle cells: 53.6,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Immune cell enhanced,Detected in single,NA,NK-cell: 2.3,Low lineage specificity,Detected in single,NA,,Cancer enhanced,Detected in all,NA,skin cancer: 179.1,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"HPA059806, HPA061896",Approved,,Approved,Nucleoplasm,Secreted in other tissues,NA,NA,NA,420000,Cluster 40: NK-cells - Unknown function,Cluster 28: Placenta - Pregnancy,Cluster 33: Skin cancer - Membrane components,Cluster 53: Connective tissue cells - ECM organization,Nucleoplasm,,"HPA059806: AB_2684130, HPA061896: AB_2684633"
KISS1,ENSG00000170498,KiSS-1 metastasis suppressor,NA,6,7,3,16,0,0,NA,NA,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins",,,"Cancer-related genes, Disease variant, Hypogonadotropic hypogonadism",Evidence at protein level,Tissue enriched,Detected in some,22,placenta: 233.1,Cell type enriched,Detected in many,31,Syncytiotrophoblasts: 1384.1,Cancer enhanced,Detected in many,NA,urothelial cancer: 9.2,Region enriched,Detected in some,6,hypothalamus: 10.7,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,"Lung - Alveolar cells type 2, Testis - Late spermatids",,,NA,,Not detected,Not detected,NA,,"CAB017775, HPA035542",Enhanced,,Approved,Vesicles,Secreted in female reproductive system,NA,NA,NA,860000,,Cluster 28: Placenta - Pregnancy,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 67: Syncytiotrophoblasts - Pregnancy,Vesicles,,"CAB017775: , HPA035542: AB_2674677"
LUM,ENSG00000139329,Lumican,NA,8,0,8,16,1,0,Adipose; Blood.Vessel; Muscle,NA,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",,,Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,gallbladder: 739.0;placenta: 535.9,Group enriched,Detected in many,10,Endometrial stromal cells: 990.9;Fibroblasts: 1398.8;Leydig cells: 414.2;Smooth muscle cells: 491.6,Low cancer specificity,Detected in all,NA,,Region enriched,Detected in some,4,cerebral cortex: 5.6,Immune cell enriched,Detected in single,122,basophil: 12.1,Lineage enriched,Detected in single,122,granulocytes: 12.1,Cancer enhanced,Detected in many,NA,Rhabdoid: 221.2,"Adipose subcutaneous - Adipose progenitor cells, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts, Thyroid - Fibroblasts",Low region specificity,Detected in all,NA,,Region enriched,Detected in all,9,spinal cord: 149.2,"HPA001522, CAB025783",Supported,,,,Secreted to extracellular matrix,NA,NA,NA,2.90E+10,Cluster 38: Basophils - Unknown function,Cluster 82: Adipose tissue - ECM organization,Cluster 22: Rhabdoid cancers - Neuronal signaling,Cluster 53: Connective tissue cells - ECM organization,,,"CAB025783: , HPA001522: AB_1079285"
MMP2,ENSG00000087245,Matrix metallopeptidase 2,ENST00000543485; ENST00000564864,7,0,9,16,0,1,Lung; Muscle,Idiopathic.Pulmonary.Fibrosis,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Angiogenesis, Collagen degradation","Hydrolase, Metalloprotease, Protease","Cancer-related genes, Disease variant",Evidence at protein level,Tissue enhanced,Detected in all,NA,gallbladder: 1062.9,Cell type enhanced,Detected in many,NA,Endometrial stromal cells: 223.5;Extravillous trophoblasts: 531.3;Fibroblasts: 756.3;Leydig cells: 338.9;Peritubular cells: 406.2,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in all,NA,testis cancer: 849.0,"Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Prostate - Fibroblasts, Skin - Fibroblast_2, Stomach - Fibroblasts",Low region specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,"HPA001939, CAB002788",Approved,,Approved,Vesicles,Secreted to extracellular matrix,NA,NA,1.60E+09,2.20E+08,,Cluster 46: Fibroblasts - ECM organization,Cluster 59: Fibroblasts - Metabolism,Cluster 65: Fibroblasts - ECM organization,Vesicles,,"CAB002788: , HPA001939: AB_1079395"
MXRA5,ENSG00000101825,Matrix remodeling associated 5,NA,8,0,8,16,0,0,Blood.Vessel,NA,"Cancer-related genes, Disease related genes, Predicted secreted proteins",,,Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 35.0,Cell type enhanced,Detected in many,NA,Basal keratinocytes: 22.9;Basal prostatic cells: 30.2;Collecting duct cells: 27.6;Exocrine glandular cells: 69.1;Fibroblasts: 45.9;Salivary duct cells: 32.5,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in single,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,thyroid cancer: 41.3,"Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Skin - Fibroblast_1",,,NA,,Low region specificity,Detected in all,NA,,"HPA000508, HPA076518",Uncertain,,Uncertain,Mitochondria,Secreted to extracellular matrix,NA,NA,NA,2600000,,Cluster 31: Skin - Epidermis development,Cluster 20: Connective tissue cells - ECM organization,Cluster 65: Fibroblasts - ECM organization,Mitochondria,,"HPA000508: AB_2147995, HPA076518: "
NPTX1,ENSG00000171246,Neuronal pentraxin 1,NA,7,2,7,16,0,0,Lung,NA,"Predicted secreted proteins, Transporters",,,,Evidence at protein level,Group enriched,Detected in many,5,brain: 107.8;intestine: 31.6,Cell type enhanced,Detected in some,NA,Cone photoreceptor cells: 239.5;Excitatory neurons: 87.2;Horizontal cells: 34.6;Late spermatids: 44.5,Cancer enhanced,Detected in many,NA,glioma: 4.8,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Rhabdoid: 32.4,Testis - Late spermatids,Low region specificity,Detected in all,NA,,Group enriched,Detected in all,4,amygdala: 55.3;cerebellum: 128.1;cerebral cortex: 102.2;hippocampal formation: 131.3,HPA077062,Enhanced,Approved,,,Secreted in brain,NA,NA,NA,1100000,,Cluster 6: Brain - Smell perception,Cluster 41: Non-specific - Cilium assembly,Cluster 38: Neurons - Neuronal signaling,,,HPA077062: AB_2732329
MMP3,ENSG00000149968,Matrix metallopeptidase 3,NA,6,6,3,15,1,1,NA,Idiopathic.Pulmonary.Fibrosis,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Collagen degradation,"Hydrolase, Metalloprotease, Protease",Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,adipose tissue: 90.7;salivary gland: 286.1,Cell type enhanced,Detected in some,NA,Basal respiratory cells: 20.2;Early spermatids: 27.8;Extravillous trophoblasts: 16.7;Fibroblasts: 52.1;Pancreatic endocrine cells: 17.2;Smooth muscle cells: 17.7,Cancer enhanced,Detected in many,NA,head and neck cancer: 59.9,Region enriched,Detected in some,4,thalamus: 7.3,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Group enriched,Detected in many,10,Brain cancer: 54.1;Sarcoma: 122.3,,Not detected,Not detected,NA,,Region enhanced,Detected in some,NA,hippocampal formation: 3.2,HPA007875,Uncertain,,Supported,Vesicles,Secreted to extracellular matrix,NA,NA,2540000,460000,,Cluster 24: Salivary gland - Salivary secretion,Cluster 20: Connective tissue cells - ECM organization,Cluster 74: Pancreatic cells - Mixed function,Vesicles,,HPA007875: AB_1079396
TEK,ENSG00000120156,TEK receptor tyrosine kinase,ENST00000406359,9,0,6,15,0,0,NA,NA,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins",Angiogenesis,"Kinase, Receptor, Transferase, Tyrosine-protein kinase","Cancer-related genes, Disease variant, FDA approved drug targets, Glaucoma",Evidence at protein level,Tissue enhanced,Detected in many,NA,placenta: 46.3,Group enriched,Detected in some,6,Adipocytes: 67.9;Endothelial cells: 76.7;Microglial cells: 37.4;Oligodendrocyte precursor cells: 131.9,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Group enriched,Detected in many,6,Rhabdoid: 16.9;testis cancer: 18.3,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Sinusoid Endothelial cells, Lung - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Stomach - Endothelial cells, Testis - Endothelial cells, Thyroid - Endothelial cells",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"CAB010359, HPA073265",Approved,,Supported,"Plasma membrane,Centriolar satellite",Secreted to blood,NA,NA,7750000,1.30E+07,Cluster 9: Neutrophils - Innate immune response,Cluster 82: Adipose tissue - ECM organization,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 66: Endothelial cells - Angiogenesis,Plasma membrane,Centriolar satellite,"CAB010359: AB_2203226, HPA073265: AB_2686592"
COL7A1,ENSG00000114270,Collagen type VII alpha 1 chain,NA,5,0,9,14,0,0,Lung; Muscle; Nerve,NA,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Cell adhesion,"Protease inhibitor, Serine protease inhibitor","Disease variant, Epidermolysis bullosa",Evidence at protein level,Tissue enhanced,Detected in many,NA,skin 1: 98.2,Cell type enhanced,Detected in many,NA,Basal keratinocytes: 64.9;Basal respiratory cells: 59.2;Basal squamous epithelial cells: 44.3;Endometrial stromal cells: 39.1,Cancer enhanced,Detected in all,NA,head and neck cancer: 41.7,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,"Heart muscle - Cardiomyocytes, Kidney - Endothelial cells",,,NA,,,,NA,,"CAB016357, HPA018877, HPA042420",Enhanced,,Approved,"Endoplasmic reticulum,Vesicles",Secreted to extracellular matrix,NA,NA,NA,6000,Cluster 41: Basophils - Cellular respiration,Cluster 31: Skin - Epidermis development,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 22: Squamous epithelial cells - Keratinization,Endoplasmic reticulum,Vesicles,"CAB016357: AB_2229746, HPA018877: , HPA042420: AB_2677990"
ECM1,ENSG00000143369,Extracellular matrix protein 1,ENST00000369049,7,0,7,14,0,0,Blood.Vessel,NA,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins","Angiogenesis, Biomineralization, Mineral balance, Osteogenesis",,Disease variant,Evidence at protein level,Tissue enhanced,Detected in many,NA,epididymis: 484.1;esophagus: 1370.5,Cell type enhanced,Detected in many,NA,Endometrial stromal cells: 107.5;Fibroblasts: 105.1;Melanocytes: 92.3;Suprabasal keratinocytes: 134.2,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,skin cancer: 171.3,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Keratinocyte (granular), Stomach - Fibroblasts, Thyroid - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"HPA027241, HPA076029",Enhanced,,Approved,"Nucleoplasm,Cytosol",Secreted to extracellular matrix,NA,NA,NA,8.70E+09,Cluster 25: Monocytes - Inflammatory response,Cluster 84: Esophagus - Epithelial cell function,Cluster 40: Non-specific - Enzymes,Cluster 3: Suprabasal keratinocytes - Cornification,Cytosol,Nucleoplasm,"HPA027241: AB_1847976, HPA076029: "
SEMA3A,ENSG00000075213,Semaphorin 3A,ENST00000436949,3,2,9,14,0,0,Blood.Vessel,NA,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Differentiation, Neurogenesis",Developmental protein,"Disease variant, Hypogonadotropic hypogonadism, Kallmann syndrome",Evidence at protein level,Tissue enhanced,Detected in many,NA,retina: 22.6,Cell type enhanced,Detected in many,NA,Astrocytes: 56.6;Cone photoreceptor cells: 24.1;Excitatory neurons: 88.4;Horizontal cells: 25.6;Rod photoreceptor cells: 66.2,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,Immune cell enriched,Detected in single,5,non-classical monocyte: 1.5,Lineage enriched,Detected in single,16,monocytes: 1.5,Low cancer specificity,Detected in all,NA,,,Low region specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,"HPA029447, HPA052235",Approved,,Approved,Vesicles,Secreted in other tissues,NA,NA,NA,1600000,Cluster 7: Monocytes - Unknown function,Cluster 77: Retina - Visual perception,Cluster 34: Rabdoid cancer - Embryonic development,Cluster 66: Endothelial cells - Angiogenesis,Vesicles,,"HPA029447: AB_10602302, HPA052235: AB_2681770"
TGFBI,ENSG00000120708,Transforming growth factor beta induced,ENST00000507018,4,0,10,14,0,0,NA,NA,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Cell adhesion, Sensory transduction, Vision",,"Amyloidosis, Corneal dystrophy, Disease variant",Evidence at protein level,Tissue enhanced,Detected in all,NA,placenta: 457.6,Cell type enhanced,Detected in many,NA,dendritic cells: 342.9;Exocrine glandular cells: 348.9;Fibroblasts: 230.1;Hofbauer cells: 281.9;Kupffer cells: 193.4;Langerhans cells: 261.6;Macrophages: 234.6;Pancreatic endocrine cells: 736.8,Low cancer specificity,Detected in all,NA,,Region enhanced,Detected in all,NA,thalamus: 77.3,Group enriched,Detected in many,32,classical monocyte: 252.3;intermediate monocyte: 149.1;myeloid DC: 156.9;non-classical monocyte: 121.4;plasmacytoid DC: 324.5,Group enriched,Detected in all,46,dendritic cells: 324.5;monocytes: 252.3,Cancer enhanced,Detected in all,NA,Kidney cancer: 2229.1,Heart muscle - Fibroblasts,Low region specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,"HPA008612, HPA017019",Enhanced,,,,Secreted to blood,NA,NA,NA,1.60E+09,Cluster 25: Monocytes - Inflammatory response,Cluster 28: Placenta - Pregnancy,Cluster 68: Kidney - Mixed function,Cluster 53: Connective tissue cells - ECM organization,,,"HPA008612: AB_1857970, HPA017019: AB_2669511"
DPP4,ENSG00000197635,Dipeptidyl peptidase 4,ENST00000490286,9,2,2,13,1,0,Adipose; Blood.Vessel; Muscle,NA,"CD markers, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Cell adhesion, Host-virus interaction","Aminopeptidase, Hydrolase, Protease, Receptor, Serine protease",FDA approved drug targets,Evidence at protein level,Tissue enhanced,Detected in many,NA,intestine: 137.9;parathyroid gland: 155.7;placenta: 134.1;prostate: 107.3,Cell type enhanced,Detected in many,NA,Cytotrophoblasts: 136.3;Prostatic glandular cells: 199.1;Proximal enterocytes: 281.4;Serous glandular cells: 123.3;Syncytiotrophoblasts: 169.5,Cancer enhanced,Detected in all,NA,prostate cancer: 55.2,Not detected,Not detected,NA,,Immune cell enhanced,Detected in many,NA,MAIT T-cell: 52.3,Lineage enriched,Detected in many,10,T-cells: 52.3,Low cancer specificity,Detected in many,NA,,"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells, Skin - Fibroblast_2, Testis - Early spermatids",Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,"CAB045970, HPA068778, HPA071236",Enhanced,,,,Secreted to blood,NA,NA,NA,1.90E+08,Cluster 16: MAIT-cells - Unknown function,Cluster 87: Intestine & Kidney - Transmembrane transport,Cluster 10: Ovarian & Endometrial cancers - Unknown function,Cluster 40: Plasma cells - Humoral immune response,,,"CAB045970: AB_11140529, HPA068778: , HPA071236: "
INHBA,ENSG00000122641,Inhibin subunit beta A,NA,4,5,4,13,0,0,NA,NA,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",,"Growth factor, Hormone",Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,gallbladder: 21.6,Cell type enhanced,Detected in many,NA,Fibroblasts: 98.4;Granulosa cells: 101.9;Langerhans cells: 90.3;Leydig cells: 151.7;Pancreatic endocrine cells: 340.1;Syncytiotrophoblasts: 180.4,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,thyroid cancer: 137.5,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Heart muscle - Fibroblasts, Skeletal muscle - Fibroblasts",Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,,,,,,Secreted to blood,NA,NA,NA,210000,,Cluster 85: Liver - Metabolism,Cluster 20: Connective tissue cells - ECM organization,Cluster 19: Macrophages - Innate immune response,,,
PSG7,ENSG00000221878,Pregnancy specific beta-1-glycoprotein 7,NA,1,12,0,13,1,0,NA,NA,"Predicted intracellular proteins, Predicted secreted proteins",,,,Evidence at protein level,Group enriched,Detected in some,4,placenta: 4.1;skin 1: 1.2,Cell type enriched,Detected in some,75,Syncytiotrophoblasts: 129.6,Not detected,Not detected,NA,,Not detected,Not detected,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enriched,Detected in some,4,Rhabdoid: 6.3,Skin - Keratinocyte (granular),,,NA,,,,NA,,HPA046327,Supported,,,,Secreted in female reproductive system,NA,NA,NA,NA,,Cluster 28: Placenta - Pregnancy,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 67: Syncytiotrophoblasts - Pregnancy,,,HPA046327: AB_2679624
PSG8,ENSG00000124467,Pregnancy specific beta-1-glycoprotein 8,NA,3,9,1,13,0,0,NA,NA,"Predicted intracellular proteins, Predicted secreted proteins",,,,Evidence at protein level,Tissue enriched,Detected in single,24,placenta: 6.5,Cell type enriched,Detected in some,11,Syncytiotrophoblasts: 39.2,Cancer enriched,Detected in single,17,thyroid cancer: 0.8,Not detected,Not detected,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in some,NA,Gastric cancer: 2.8,,,,NA,,,,NA,,HPA046327,Supported,,,,Secreted in female reproductive system,NA,NA,NA,5.50E+07,,Cluster 28: Placenta - Pregnancy,Cluster 60: Keratinocytes - Epithelial cell function,Cluster 67: Syncytiotrophoblasts - Pregnancy,,,HPA046327: AB_2679624
ADAMTS5,ENSG00000154736,ADAM metallopeptidase with thrombospondin type 1 motif 5,NA,10,0,2,12,1,0,NA,NA,"Cancer-related genes, Predicted secreted proteins",,"Hydrolase, Metalloprotease, Protease",Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,placenta: 26.2,Cell type enhanced,Detected in many,NA,Breast myoepithelial cells: 48.9;Endometrial stromal cells: 87.7;Fibroblasts: 82.0;Leydig cells: 63.0;Smooth muscle cells: 50.0;Theca cells: 37.4,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Sarcoma: 7.4;thyroid cancer: 4.8,Liver - Hepatic stellate cells,Low region specificity,Detected in some,NA,,Low region specificity,Detected in some,NA,,"HPA005661, CAB025996, HPA030906, HPA030908",Approved,,Supported,Nucleoplasm,Secreted to extracellular matrix,NA,NA,NA,28000,,Cluster 5: Breast - Unknown function,Cluster 20: Connective tissue cells - ECM organization,Cluster 65: Fibroblasts - ECM organization,Nucleoplasm,,"CAB025996: , HPA005661: AB_1078101, HPA030906: AB_2673654, HPA030908: AB_2673655"
FST,ENSG00000134363,Follistatin,NA,5,0,7,12,0,0,Blood.Vessel; Lung; Muscle,NA,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,,Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,liver: 68.7,Group enriched,Detected in many,6,Granulosa cells: 676.3;Skeletal myocytes: 213.8,Cancer enhanced,Detected in all,NA,liver cancer: 45.1,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Gallbladder cancer: 403.5,"Heart muscle - Fibroblasts, Kidney - Fibroblasts",Low region specificity,Detected in many,NA,,Low region specificity,Detected in single,NA,,"HPA016612, CAB026025",Approved,,Approved,Vesicles,Secreted to blood,NA,NA,NA,1800000,Cluster 32: T-cells - Unknown function,Cluster 85: Liver - Metabolism,Cluster 20: Connective tissue cells - ECM organization,Cluster 17: Granulosa cells - Transcription regulation,Vesicles,,"CAB026025: , HPA016612: "
